{m182,w249}.
{m55,w49}.
{m284,w209}.
{m13,w88}.
{m169,w188}.
{m171,w148}.
{m139,w248}.
{m97,w48}.
{m67,w108}.
{m49,w208}.
{m110,w287}.
{m210,w87}.
{m261,w187}.
{m8,w207}.
{m21,w107}.
{m222,w286}.
{m299,w146}.
{m5,w46}.
{m268,w106}.
{m86,w285}.
{m189,w85}.
{m185,w45}.
{m155,w205}.
{m269,w105}.
{m202,w284}.
{m73,w244}.
{m108,w204}.
{m197,w283}.
{m204,w143}.
{m38,w43}.
{m70,w243}.
{m9,w103}.
{m191,w203}.
{m41,w182}.
{m162,w282}.
{m64,w242}.
{m254,w42}.
{m52,w142}.
{m140,w202}.
{m273,w102}.
{m287,w81}.
{m196,w281}.
{m76,w101}.
{m131,w280}.
{m88,w80}.
{m177,w180}.
{m216,w200}.
{m249,w300}.
{m291,w279}.
{m238,w179}.
{m167,w238}.
{m154,w177}.
{m53,w277}.
{m152,w77}.
{m244,w7}.
{m219,w137}.
{m31,w37}.
{m40,w6}.
{m119,w176}.
{m226,w276}.
{m242,w36}.
{m105,w275}.
{m153,w75}.
{m123,w5}.
{m209,w175}.
{m181,w135}.
{m118,w35}.
{m218,w235}.
{m281,w274}.
{m237,w234}.
{m285,w134}.
{m136,w34}.
{m107,w3}.
{m183,w173}.
{m90,w273}.
{m27,w73}.
{m46,w172}.
{m137,w132}.
{m112,w1}.
{m61,w171}.
{m148,w71}.
{m241,w270}.
{m89,w70}.
{m102,w130}.
{m79,w169}.
{m163,w69}.
{m215,w269}.
{m96,w29}.
{m11,w268}.
{m65,w168}.
{m109,w28}.
{m87,w67}.
{m265,w267}.
{m12,w127}.
{m280,w27}.
{m127,w266}.
{m240,w66}.
{m74,w166}.
{m246,w26}.
{m178,w165}.
{m95,w65}.
{m125,w225}.
{m75,w125}.
{m174,w64}.
{m98,w264}.
{m35,w164}.
{m224,w24}.
{m275,w224}.
{m132,w163}.
{m245,w263}.
{m294,w123}.
{m133,w223}.
{m14,w23}.
{m274,w262}.
{m93,w162}.
{m258,w62}.
{m206,w222}.
{m80,w122}.
{m20,w161}.
{m117,w61}.
{m248,w261}.
{m149,w121}.
{m141,w60}.
{m190,w220}.
{m19,w299}.
{m225,w99}.
{m282,w199}.
{m91,w259}.
{m264,w159}.
{m151,w119}.
{m290,w19}.
{m99,w98}.
{m180,w298}.
{m24,w258}.
{m263,w118}.
{m277,w197}.
{m170,w297}.
{m166,w157}.
{m194,w57}.
{m207,w257}.
{m15,w17}.
{m106,w196}.
{m214,w296}.
{m236,w56}.
{m168,w156}.
{m234,w116}.
{m104,w295}.
{m179,w195}.
{m257,w95}.
{m230,w55}.
{m50,w155}.
{m57,w15}.
{m146,w115}.
{m156,w194}.
{m231,w94}.
{m288,w294}.
{m188,w254}.
{m28,w114}.
{m66,w293}.
{m134,w53}.
{m138,w13}.
{m33,w113}.
{m126,w213}.
{m78,w92}.
{m32,w192}.
{m30,w292}.
{m193,w252}.
{m82,w52}.
{m116,w12}.
{m68,w212}.
{m158,w112}.
{m266,w291}.
{m283,w191}.
{m115,w151}.
{m239,w251}.
{m122,w111}.
{m7,w290}.
{m94,w90}.
{m251,w190}.
{m103,w50}.
{m201,w210}.
{m17,w110}.
